iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
653	111964	126000	48888	55379	56433
654	111961	126000	48886	55378	56433
655	111962	126000	48887	55379	56433
656	111962	126000	48887	55379	56433
657	111962	126000	48889	55383	56433
658	111961	126000	48889	55384	56433
659	111962	126000	48890	55385	56433
660	111965	126000	48893	55388	56433
661	111962	126000	48892	55389	56433
662	111965	126000	48894	55390	56433
663	111970	126000	48897	55391	56433
664	111968	126000	48896	55391	56433
665	111969	126000	48896	55390	56433
666	111971	126000	48898	55392	56433
667	111971	126000	48898	55392	56433
668	111972	126000	48899	55393	56433
669	111973	126000	48899	55392	56433
670	111975	126000	48900	55392	56433
671	111974	126000	48897	55387	56433
672	111973	126000	48897	55388	56433
673	111972	126000	48896	55387	56433
674	111970	126000	48895	55387	56433
675	111969	126000	48895	55388	56433
676	111970	126000	48895	55387	56433
677	111971	126000	48894	55384	56433
678	111970	126000	48894	55385	56433
679	111972	126000	48897	55389	56433
680	111973	126000	48898	55390	56433
681	111972	126000	48897	55389	56433
682	111974	126000	48898	55389	56433
683	111975	126000	48898	55388	56433
684	111973	126000	48896	55386	56433
685	111975	126000	48897	55386	56433
686	111975	126000	48899	55390	56433
687	111975	126000	48899	55390	56433
688	111977	126000	48901	55392	56433
689	111976	126000	48901	55393	56433
690	111977	126000	48901	55392	56433
691	111976	126000	48901	55393	56433
692	111975	126000	48901	55394	56433
693	111972	126000	48900	55395	56433
694	111977	126000	48901	55392	56433
695	111976	126000	48900	55391	56433
696	111976	126000	48900	55391	56433
697	111974	126000	48900	55393	56433
698	111973	126000	48900	55394	56433
699	111972	126000	48899	55393	56433
700	111974	126000	48899	55391	56433
701	111978	126000	48900	55389	56433
702	111980	126000	48900	55387	56433
703	111982	126000	48902	55389	56433
704	111982	126000	48902	55389	56433
705	111981	126000	48901	55388	56433
706	111982	126000	48902	55389	56433
707	111984	126000	48904	55391	56433
708	111980	126000	48903	55393	56433
709	111981	126000	48904	55394	56433
710	111979	126000	48903	55394	56433
711	111979	126000	48903	55394	56433
712	111979	126000	48902	55392	56433
713	111982	126000	48904	55393	56433
714	111983	126000	48906	55396	56433
715	111984	126000	48909	55401	56433
716	111983	126000	48908	55400	56433
717	111983	126000	48909	55402	56433
718	111985	126000	48909	55400	56433
719	111985	126000	48909	55400	56433
720	111991	126000	48912	55400	56433
721	111991	126000	48912	55400	56433
722	111991	126000	48913	55402	56433
723	111991	126000	48913	55402	56433
724	111992	126000	48914	55403	56433
725	111990	126000	48914	55405	56433
726	111989	126000	48914	55406	56433
727	111989	126000	48914	55406	56433
728	111991	126000	48914	55404	56433
729	111995	126000	48915	55402	56433
730	111997	126000	48915	55400	56433
731	111996	126000	48913	55397	56433
732	111995	126000	48913	55398	56433
733	111994	126000	48913	55399	56433
734	111996	126000	48913	55397	56433
735	111999	126000	48913	55394	56433
736	111995	126000	48912	55396	56433
737	111994	126000	48912	55397	56433
738	111995	126000	48911	55394	56433
739	111993	126000	48911	55396	56433
740	111995	126000	48911	55394	56433
741	111995	126000	48911	55394	56433
742	111994	126000	48912	55397	56433
743	111995	126000	48912	55396	56433
744	111996	126000	48912	55395	56433
745	111995	126000	48913	55398	56433
746	111996	126000	48914	55399	56433
747	111998	126000	48914	55397	56433
748	111995	126000	48913	55398	56433
749	111997	126000	48914	55398	56433
750	111996	126000	48914	55399	56433
751	111995	126000	48913	55398	56433
752	111995	126000	48914	55400	56433
753	111996	126000	48914	55399	56433
754	111996	126000	48913	55397	56433
755	111996	126000	48912	55395	56433
756	111997	126000	48913	55396	56433
757	111995	126000	48911	55394	56433
758	111997	126000	48911	55392	56433
759	111996	126000	48911	55393	56433
760	111996	126000	48912	55395	56433
761	111994	126000	48911	55395	56433
762	111993	126000	48912	55398	56433
763	111993	126000	48911	55396	56433
764	111995	126000	48911	55394	56433
765	111993	126000	48910	55394	56433
766	111996	126000	48910	55391	56433
767	111998	126000	48911	55391	56433
768	111998	126000	48911	55391	56433
769	111997	126000	48912	55394	56433
770	111997	126000	48912	55394	56433
771	111999	126000	48913	55394	56433
772	112001	126000	48914	55394	56433
773	111999	126000	48913	55394	56433
774	111997	126000	48913	55396	56433
775	111999	126000	48915	55398	56433
776	112000	126000	48915	55397	56433
777	112000	126000	48914	55395	56433
778	111999	126000	48914	55396	56433
779	112001	126000	48913	55392	56433
780	112003	126000	48914	55392	56433
781	112002	126000	48914	55393	56433
782	112000	126000	48916	55399	56433
783	112002	126000	48916	55397	56433
784	112003	126000	48917	55398	56433
785	112003	126000	48918	55400	56433
786	112002	126000	48918	55401	56433
787	112003	126000	48918	55400	56433
788	112002	126000	48918	55401	56433
789	112002	126000	48918	55401	56433
790	112001	126000	48918	55402	56433
791	111997	126000	48915	55400	56433
792	111994	126000	48913	55399	56433
793	111996	126000	48915	55401	56433
794	111992	126000	48913	55401	56433
795	111991	126000	48913	55402	56433
796	111994	126000	48914	55401	56433
797	111995	126000	48915	55402	56433
798	111997	126000	48917	55404	56433
799	111999	126000	48919	55406	56433
800	112003	126000	48919	55402	56433
801	112003	126000	48919	55402	56433
802	112001	126000	48918	55402	56433
803	112001	126000	48920	55406	56433
804	112002	126000	48920	55405	56433
805	112001	126000	48919	55404	56433
